State,ActName,Category,Promulgated,Enacted
District of Columbia,Mediation,Commercial Law,2001,2006
District of Columbia,Military and Overseas Voters,Uncategorized,2010,2012
District of Columbia,Multiple Person Accounts,Uncategorized,1989,2001
District of Columbia,Notarial Acts,Uncategorized,1982,1991
District of Columbia,Partnership,Commercial Law,1992,1997
District of Columbia,Principal and Income,Uncategorized,4005,4011
District of Columbia,Prudent Investor,Uncategorized,1994,1998
District of Columbia,Prudent Management of Institutional Funds,Uncategorized,2006,2008
District of Columbia,Real Property Electronic Recording,Real Estate,2004,2006
District of Columbia,Real Property Transfer on Death,Real Estate,2009,2013
District of Columbia,Securities,Commercial Law,1956,1967
District of Columbia,Simultaneous Death,Death,3931,3959
District of Columbia,Statutory Rule Against Perpetuities,Uncategorized,1986,2001
District of Columbia,Statutory Trust Entity,Uncategorized,2009,2011
District of Columbia,TOD Security Registration,Uncategorized,1989,2001
District of Columbia,Testamentary Additions to Trusts,Uncategorized,1960,1966
District of Columbia,Trade Secrets,Uncategorized,1979,1989
District of Columbia,Transfers to Minors,Uncategorized,1983,1986
District of Columbia,Trust Code,Uncategorized,2000,2004
District of Columbia,UCC,Uncategorized,1951,1963
District of Columbia,UCC Article 1,Uncategorized,2001,2013
District of Columbia,UCC Article 2A,Uncategorized,1987,1992
District of Columbia,UCC Article 4A,Uncategorized,4001,4005
District of Columbia,UCC Article 5,Uncategorized,1995,1997
District of Columbia,UCC Article 7,Uncategorized,2003,2013
District of Columbia,UCC Article 8,Uncategorized,3971,3990
District of Columbia,UCC Article 9,Uncategorized,5981,5996
District of Columbia,UCC Articles 3 and 4,Uncategorized,3992,4008
District of Columbia,Unincorporated Nonprofit Association,Uncategorized,1992,2001
District of Columbia,Unsworn Foreign Declarations,Uncategorized,2008,2010
Florida,Anatomical Gift,Anatomical Gift,1968,1969
Florida,Arbitration,Uncategorized,2000,2013
Florida,Athlete Agents,Uncategorized,2000,2002
Florida,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,1941
Florida,Certification of Questions of Law,Uncategorized,1967,1960
Florida,Child Abduction Prevention,Children,2006,2010
Florida,Child Custody Jurisdiction and Enforcement,Children,1997,2002
Florida,Controlled Substances,Uncategorized,1970,1974
Florida,Declaratory Judgments,Civil Procedure,1922,1943
Florida,Electronic Transactions,Commercial Law,1999,2000
Florida,Enforcement of Foreign Judgments,Civil Procedure,1964,1984
Florida,Federal Lien Registration,Civil Procedure,1978,1992
Florida,Fraudulent Transfer,Uncategorized,1984,1987
Florida,Interstate Family Support,Uncategorized,4000,4007
Florida,Limited Liability Company,Commercial Law,2006,2013
Florida,Limited Partnership,Commercial Law,3977,3991
Florida,Multiple Person Accounts,Uncategorized,1989,1994
Florida,Partnership,Commercial Law,1994,1995
Florida,Principal and Income,Uncategorized,1997,2002
Florida,Prudent Management of Institutional Funds,Uncategorized,2006,2011
Florida,Real Property Electronic Recording,Real Estate,2004,2007
Florida,Residential Landlord and Tenant,Real Estate,1972,1973
Florida,Simultaneous Death,Death,1940,1941
Florida,Statutory Rule Against Perpetuities,Uncategorized,1986,1988
Florida,TOD Security Registration,Uncategorized,1989,1994
Florida,Testamentary Additions to Trusts,Uncategorized,1960,1960
Florida,Trade Secrets,Uncategorized,1979,1988
Florida,Transfers to Minors,Uncategorized,1983,1985
Florida,Trust Code,Uncategorized,2000,2006
Florida,UCC,Uncategorized,1951,1965
Florida,UCC Article 1,Uncategorized,2001,2007
Florida,UCC Article 2A,Uncategorized,3977,3988
Florida,UCC Article 4A,Uncategorized,1989,1991
Florida,UCC Article 5,Uncategorized,1995,1999
Florida,UCC Article 7,Uncategorized,2003,2010
Florida,UCC Article 8,Uncategorized,3971,3985
Florida,UCC Article 9,Uncategorized,5981,5992
Florida,UCC Articles 3 and 4,Uncategorized,1990,1992
Georgia,Anatomical Gift,Anatomical Gift,3974,3977
Georgia,Athlete Agents,Uncategorized,2000,2003
Georgia,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,1976
Georgia,Child Custody Jurisdiction and Enforcement,Children,1997,2001
Georgia,Controlled Substances,Uncategorized,1970,1974
