State,ActName,Category,Promulgated,Prom_Decade,Enacted,Enact_Decade
New Hampshire,Certification of Questions of Law,,1967,,1968,
New Mexico,Certification of Questions of Law,,1967,,1993,
North Dakota,Certification of Questions of Law,,1967,,1977,
Oklahoma,Certification of Questions of Law,,1967,,1973,
Oregon,Certification of Questions of Law,,1967,,1983,
Rhode Island,Certification of Questions of Law,,1967,,1973,
Washington,Certification of Questions of Law,,1967,,1965,
West Virginia,Certification of Questions of Law,,1967,,1976,
Wisconsin,Certification of Questions of Law,,1967,,1982,
Connecticut,Certification of Questions of Law,,1995,,1999,
Maryland,Certification of Questions of Law,,1995,,1996,
Minnesota,Certification of Questions of Law,,1995,,1998,
Montana,Certification of Questions of Law,,1995,,1997,
New Mexico,Certification of Questions of Law,,1995,,1997,
Oklahoma,Certification of Questions of Law,,1995,,1997,
Vermont,Certification of Questions of Law,,1995,,2000,
West Virginia,Certification of Questions of Law,,1995,,1996,
Alabama,Child Abduction Prevention,Children,2006,,2010,
Colorado,Child Abduction Prevention,Children,2006,,2007,
District of Columbia,Child Abduction Prevention,Children,2006,,2009,
Florida,Child Abduction Prevention,Children,2006,,2010,
Kansas,Child Abduction Prevention,Children,2006,,2007,
Louisiana,Child Abduction Prevention,Children,2006,,2007,
Mississippi,Child Abduction Prevention,Children,2006,,2009,
Nebraska,Child Abduction Prevention,Children,2006,,2007,
Nevada,Child Abduction Prevention,Children,2006,,2007,
New Mexico,Child Abduction Prevention,Children,2006,,2013,
South Dakota,Child Abduction Prevention,Children,2006,,2007,
Tennessee,Child Abduction Prevention,Children,2006,,2010,
Utah,Child Abduction Prevention,Children,2006,,2007,
Alabama,Child Custody Jurisdiction and Enforcement,Children,1997,,1999,
Alaska,Child Custody Jurisdiction and Enforcement,Children,1997,,1998,
Arizona,Child Custody Jurisdiction and Enforcement,Children,1997,,2000,
Arkansas,Child Custody Jurisdiction and Enforcement,Children,1997,,1999,
California,Child Custody Jurisdiction and Enforcement,Children,1997,,2000,
Colorado,Child Custody Jurisdiction and Enforcement,Children,1997,,2000,
Connecticut,Child Custody Jurisdiction and Enforcement,Children,1997,,1999,
Delaware,Child Custody Jurisdiction and Enforcement,Children,1997,,2002,
District of Columbia,Child Custody Jurisdiction and Enforcement,Children,1997,,2001,
Florida,Child Custody Jurisdiction and Enforcement,Children,1997,,2002,
Georgia,Child Custody Jurisdiction and Enforcement,Children,1997,,2001,
Hawaii,Child Custody Jurisdiction and Enforcement,Children,1997,,2002,
Idaho,Child Custody Jurisdiction and Enforcement,Children,1997,,2000,
Illinois,Child Custody Jurisdiction and Enforcement,Children,1997,,2003,
Indiana,Child Custody Jurisdiction and Enforcement,Children,1997,,2007,
Iowa,Child Custody Jurisdiction and Enforcement,Children,1997,,1999,
Kansas,Child Custody Jurisdiction and Enforcement,Children,1997,,2000,
Kentucky,Child Custody Jurisdiction and Enforcement,Children,1997,,2004,
Louisiana,Child Custody Jurisdiction and Enforcement,Children,1997,,2006,
Maine,Child Custody Jurisdiction and Enforcement,Children,1997,,1999,
Maryland,Child Custody Jurisdiction and Enforcement,Children,1997,,2004,
Michigan,Child Custody Jurisdiction and Enforcement,Children,1997,,2002,
Minnesota,Child Custody Jurisdiction and Enforcement,Children,1997,,1999,
Mississippi,Child Custody Jurisdiction and Enforcement,Children,1997,,2004,
Missouri,Child Custody Jurisdiction and Enforcement,Children,1997,,2009,
Montana,Child Custody Jurisdiction and Enforcement,Children,1997,,1999,
Nebraska,Child Custody Jurisdiction and Enforcement,Children,1997,,2003,
Nevada,Child Custody Jurisdiction and Enforcement,Children,1997,,2003,
New Hampshire,Child Custody Jurisdiction and Enforcement,Children,1997,,2009,
New Jersey,Child Custody Jurisdiction and Enforcement,Children,1997,,2004,
New Mexico,Child Custody Jurisdiction and Enforcement,Children,1997,,2001,
New York,Child Custody Jurisdiction and Enforcement,Children,1997,,2002,
North Carolina,Child Custody Jurisdiction and Enforcement,Children,1997,,1999,
North Dakota,Child Custody Jurisdiction and Enforcement,Children,1997,,1999,
